forest_name,species,present
Modoc National Forest,gyrocheilus_patrobas,FALSE
Mt. Baker-Snoqualmie National Forest,gyrocheilus_patrobas,FALSE
Mt. Hood National Forest,gyrocheilus_patrobas,FALSE
Nebraska National Forest,gyrocheilus_patrobas,FALSE
Nez Perce-Clearwater National Forest,gyrocheilus_patrobas,FALSE
Ochoco National Forest,gyrocheilus_patrobas,FALSE
Okanogan-Wenatchee National Forest,gyrocheilus_patrobas,FALSE
Olympic National Forest,gyrocheilus_patrobas,FALSE
Payette National Forest,gyrocheilus_patrobas,FALSE
Pike and San Isabel National Forests,gyrocheilus_patrobas,FALSE
Plumas National Forest,gyrocheilus_patrobas,FALSE
Prescott National Forest,gyrocheilus_patrobas,FALSE
Rio Grande National Forest,gyrocheilus_patrobas,FALSE
Rogue River-Siskiyou National Forests,gyrocheilus_patrobas,FALSE
Salmon-Challis National Forest,gyrocheilus_patrobas,FALSE
San Bernardino National Forest,gyrocheilus_patrobas,FALSE
San Juan National Forest,gyrocheilus_patrobas,FALSE
Santa Fe National Forest,gyrocheilus_patrobas,FALSE
Sawtooth National Forest,gyrocheilus_patrobas,FALSE
Sequoia National Forest,gyrocheilus_patrobas,FALSE
